ANUALIDAD,NUMBARRIO,NOMBARRIO,I_ALQUILER,HABITANTES,EXTRANJEROS,SUPERFICIE,DENSIDAD,MEN_16,DE_16_A_65,MAY_65,TDEP_INF,TDEP_MAY,TDEP_TOTAL,ALTAS_UNIVERSITARIAS,BAJAS_SE,NACIMIENTOS,RENTA_NMPP,RESTAURACION,COMERCIAL,NUM_VIVIENDAS,PLAZAS_VIVIENDAS,NUM_ESTAB_HOTELEROS,PLAZAS_ESTAB_HOTELEROS,SUP_ZONAS_VERDES,ZV_X_HABITANTES,S_SALUD,PROX_S_SALUD,C_CULTURALES,C_OCIO,C_DEPORTIVOS,C_ALIMENTACION,PERSONAS_X_HOGAR
2020,1,LA ARAÑA,2.27,258,14,323892.4849,7.965606244,43,155,60,27.74193548,38.70967742,66.4516129,9,6,1,11874,3,1,0,0,0,0,687.310775,2.663995252,0,0,1,0,1,0,2.3455
2020,2,FABRICA CEMENTO,0,2,0,1146583.726,0.017443122,0,0,2,0,0,0,0,6,0,11874,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2020,3,JARAZMIN,5.04,781,33,539769.9039,14.46912831,172,539,70,31.9109462,12.98701299,44.89795918,31,12,9,18270,1,3,1,8,0,0,2037.11518,2.6083421,0,0,0,0,1,0,3.0154
2020,4,EL CANDADO,9.5,1357,118,711852.9705,19.0629253,166,861,330,19.27990708,38.32752613,57.60743322,55,12,5,18270,2,7,44,293,0,0,824.086115,0.607285273,0,352,0,0,0,1,2.666
2020,5,PLAYA VIRGINIA,6.45,598,38,60083.06456,99.52887796,71,394,133,18.02030457,33.75634518,51.77664975,20,6,3,11874,1,2,18,103,0,0,512.981209,0.857828109,0,468,0,0,0,1,2.5021
2020,6,EL CHANQUETE,0,211,8,56036.9396,37.65373368,27,136,48,19.85294118,35.29411765,55.14705882,7,6,3,11874,6,0,10,48,0,0,0,0,0,211,0,0,0,0,2.7763
2020,7,FINCA EL CANDADO,0,11,1,79527.21618,1.38317428,1,9,1,11.11111111,11.11111111,22.22222222,0,30,0,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,8,CAMINO DE OLIAS,0,0,0,99823.11028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,9,PODADERA,6.74,188,7,45203.89082,41.58934034,18,121,49,14.87603306,40.49586777,55.37190083,2,30,1,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4416
2020,10,MIRAFLORES ALTO,7.81,686,16,233082.6382,29.43162156,200,445,41,44.94382022,9.213483146,54.15730337,19,13,1,18310.7813,0,0,7,46,0,0,0,0,0,0,0,0,0,0,3.4646
